#separator:comma
#deck column:18
42,何気ない,なにげない,何[なに]気[げ]ない,坦然自若的，若无其事的，没有特别的企图,casual,イ形,友達との何気ない会話が楽しい。,和朋友们坦然自若地对话是很开心的。,,,[sound:JLPT_TangoN2_Word_0042.mp3],[sound:JLPT_TangoN2_Sentence_0042.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
43,からかう,からかう,からかう,嘲弄，开玩笑,to tease,動,彼女ができて、友達にからかわれた。,我交到女朋友了，结果受到了朋友的嘲弄。,,,[sound:JLPT_TangoN2_Word_0043.mp3],[sound:JLPT_TangoN2_Sentence_0043.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
44,幹事,かんじ,幹[かん]事[じ],干事，负责人,"organizer, person in charge",名,仲間の飲み会では、いつも私が幹事だ。,和同伴们出去喝酒时，经常由我负责联络。,,,[sound:JLPT_TangoN2_Word_0044.mp3],[sound:JLPT_TangoN2_Sentence_0044.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
45,呼び出す,よびだす,呼[よ]び出[だ]す,叫出来，传唤,"to send for, to summon",動,夜遅く、親友に「飲みに行こう」と呼び出された。,半夜，我被好朋友叫出去喝酒了。,,,[sound:JLPT_TangoN2_Word_0045.mp3],[sound:JLPT_TangoN2_Sentence_0045.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
46,盛り上がる,もりあがる,盛[も]り上[あ]がる,气氛高涨；凸起，隆起,"to liven up, to surge",動,"①パーティーは盛り上がって、夜中まで続いた。 
②地震で道が盛り上がった。","①宴会气氛热烈，一直进行到深夜。 
②因为地震，路面隆起来了。",,①气氛热烈，情绪高涨；②鼓起来，高出来,[sound:JLPT_TangoN2_Word_0046.mp3],[sound:JLPT_TangoN2_Sentence_0046.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
47,あきれる,あきれる,あきれる,吃惊；厌烦,to be appalled,動,彼はいつも遅刻するので、あきれてしまう。,他老是迟到，真是让人厌烦。,,,[sound:JLPT_TangoN2_Word_0047.mp3],[sound:JLPT_TangoN2_Sentence_0047.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
48,ふざける,ふざける,ふざける,开玩笑，打闹，嘲弄,to fool around,動,友達とふざけていたら、転んで足の骨を折った。,我和朋友打闹的时候，不小心摔倒，腿部骨折了。,,,[sound:JLPT_TangoN2_Word_0048.mp3],[sound:JLPT_TangoN2_Sentence_0048.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
49,久しい,ひさしい,久[ひさ]しい,许久，久违,long time,イ形,高校時代のクラスメートと久しく会っていない。,我好久没和高中的同班同学见面了。,＋久しぶり long time no see / 好久不见,,[sound:JLPT_TangoN2_Word_0049.mp3],[sound:JLPT_TangoN2_Sentence_0049.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
50,初対面,しょたいめん,初[しょ]対[たい]面[めん],初次见面,first meeting,名,山田さんとは初対面だったので、あいさつした。,因为和山田是第一次见面，所以我去打了个招呼。,,,[sound:JLPT_TangoN2_Word_0050.mp3],[sound:JLPT_TangoN2_Sentence_0050.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
51,自己紹介,じこしょうかい,自[じ]己[こ]紹[しょう]介[かい],自我介绍,self-introduction,名,合コンでお互いに自己紹介をした。,在联谊会上，大家互相做了一下自我介绍。,＋自己流 one’s own method / 自己的风格，自成一派,,[sound:JLPT_TangoN2_Word_0051.mp3],[sound:JLPT_TangoN2_Sentence_0051.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
