序号,日语单词,注音,Anki格式,中文翻译,英文翻译,词性,例句,例句翻译,关联,补充,Audio,Audio_Sentence,Chapter,Section,,,
1204,単純〈な〉,たんじゅん,単[たん]純[じゅん]（な）,单纯；简单,"simple, uncomplicated",名・ナ形,"①彼は単純な計算ミスをした。（ナ形）
②彼は単純なところがある。（ナ形）","①他犯了一个简单的计算错误。
②他有单纯的地方。",,①不复杂；②想得简单,[sound:JLPT_TangoN3_Word_1204.mp3],[sound:JLPT_TangoN3_Sentence_1204.mp3],11,1,気持ちを伝えよう,性格,万词对策N3::Chapter 11 気持ちを伝えよう::Section 1 性格
1205,オーバーな,オーバー,オーバーな,夸张,"over, to an extreme",ナ形,あの人は何でもオーバーに言う。,那个人无论什么都说得很夸张。,＝大げさな,"""オーバー〈する〉""表示超过了一个确定的标准。",[sound:JLPT_TangoN3_Word_1205.mp3],[sound:JLPT_TangoN3_Sentence_1205.mp3],11,1,気持ちを伝えよう,性格,万词对策N3::Chapter 11 気持ちを伝えよう::Section 1 性格
1206,欠点,けってん,欠[けっ]点[てん],缺点,"flaw, shortcoming",名,だれにでも欠点がある。,无论是谁都有缺点。,＋弱点 weak point / 弱点,,[sound:JLPT_TangoN3_Word_1206.mp3],[sound:JLPT_TangoN3_Sentence_1206.mp3],11,1,気持ちを伝えよう,性格,万词对策N3::Chapter 11 気持ちを伝えよう::Section 1 性格
1207,くせ,くせ,癖[くせ],习惯，毛病,habit,名,話しているときに髪にさわるのが私のくせです。,说话时摸头发是我的习惯。,＋口ぐせ favorite phrase / 口头禅,,[sound:JLPT_TangoN3_Word_1207.mp3],[sound:JLPT_TangoN3_Sentence_1207.mp3],11,1,気持ちを伝えよう,性格,万词对策N3::Chapter 11 気持ちを伝えよう::Section 1 性格
1208,器用な,きよう,器[き]用[よう]な,灵巧；巧妙,"dexterous, skillful",ナ形,姉は器用で、料理も上手だ。,姐姐手巧，做饭也好吃。,⇔不器用な,,[sound:JLPT_TangoN3_Word_1208.mp3],[sound:JLPT_TangoN3_Sentence_1208.mp3],11,1,気持ちを伝えよう,性格,万词对策N3::Chapter 11 気持ちを伝えよう::Section 1 性格
1209,感情,かんじょう,感[かん]情[じょう],感情,emotion,名,彼女は感情を人に見せない。,她不向人表露自己的感情。,＋感情的な emotional / 感情的，非理智的,,[sound:JLPT_TangoN3_Word_1209.mp3],[sound:JLPT_TangoN3_Sentence_1209.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1210,あこがれる,あこがれる,憧[あこが]れる,憧憬，向往,to admire,动,この女優に、ずっとあこがれている。,我一直很崇拜这个女演员。,＋あこがれ admiration / 憧憬，向往,,[sound:JLPT_TangoN3_Word_1210.mp3],[sound:JLPT_TangoN3_Sentence_1210.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1211,うらやましい,うらやましい,羨[うらや]ましい,羡慕,jealous,イ形,彼には欠点がない。本当にうらやましい。,他完美无缺，真让人羡慕。,,,[sound:JLPT_TangoN3_Word_1211.mp3],[sound:JLPT_TangoN3_Sentence_1211.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1212,落ち着く,おちつく,落[お]ち着[つ]く,沉着，安静，平心静气,to calm down,动,彼としゃべっていると、とても落ち着く。,和他聊天，会让人非常平静。,,,[sound:JLPT_TangoN3_Word_1212.mp3],[sound:JLPT_TangoN3_Sentence_1212.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1213,感激〈する〉,かんげき,感[かん]激[げき]（する）,感激，感动,"deep emotion, impression",名・动,彼に婚約指輪をもらって、感激した。,我接受了男朋友的订婚戒指，非常感动。,,,[sound:JLPT_TangoN3_Word_1213.mp3],[sound:JLPT_TangoN3_Sentence_1213.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1214,感動〈する〉,かんどう,感[かん]動[どう]（する）,感动,being moved emotionally,名・动,この映画に、みんなが感動するだろう。,看了这部电影，所有人都会感动吧。,,,[sound:JLPT_TangoN3_Word_1214.mp3],[sound:JLPT_TangoN3_Sentence_1214.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1215,感心〈する〉,かんしん,感[かん]心[しん]（する）,钦佩，赞叹,"admiration, being impressed",名・动,アインさん、日本語が上手になりましたね。感心しました。,你的日语变得非常好了呢，真棒！,,,[sound:JLPT_TangoN3_Word_1215.mp3],[sound:JLPT_TangoN3_Sentence_1215.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1216,懐かしい*,なつかしい,懐[なつ]かし[い],怀念，眷恋,"nostalgic, reminding",イ形,高校時代が、とてもなつかしい。,我非常怀念我的高中生活。,,,[sound:JLPT_TangoN3_Word_1216.mp3],[sound:JLPT_TangoN3_Sentence_1216.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1217,気軽な,きがる,気[き]軽[がる]な,爽快；随意,"free, without hesitation",ナ形,何でも気軽に相談してください。,不管什么事情，都可以找我商量。,,,[sound:JLPT_TangoN3_Word_1217.mp3],[sound:JLPT_TangoN3_Sentence_1217.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1218,気楽な,きらく,気[き]楽[らく]な,轻松；坦然,"carefree, easygoing",ナ形,ストレスのない気楽な生活がしたい。,我希望能够生活得没有压力，轻轻松松。,,,[sound:JLPT_TangoN3_Word_1218.mp3],[sound:JLPT_TangoN3_Sentence_1218.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1219,幸せ〈な〉,しあわせ,幸[しあわ]せ（な）,幸福,"good fortune, happiness",名・ナ形,"幸せは、人によって違う。（名）
いろいろあったが、今は幸せな毎日だ。（ナ形）","幸福因人而异。
虽然发生了许多事情，但现在我每一天都很幸福。","＝幸福（な）
＝ハッピー（な）
＋幸い happiness, fortune, luck / 幸运；幸好",,[sound:JLPT_TangoN3_Word_1219.mp3],[sound:JLPT_TangoN3_Sentence_1219.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1220,冗談,じょうだん,冗[じょう]談[だん],玩笑,joke,名,彼の冗談は、おもしろい。,他开的玩笑很有意思。,,"请注意，没有""冗談する""这种说法。",[sound:JLPT_TangoN3_Word_1220.mp3],[sound:JLPT_TangoN3_Sentence_1220.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1221,ユーモア,ユーモア,ユーモア,幽默,humor,名,ユーモアのない人と話しても、おもしろくない。,跟没有幽默感的人说话很无趣。,,,[sound:JLPT_TangoN3_Word_1221.mp3],[sound:JLPT_TangoN3_Sentence_1221.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1222,愉快な*,ゆかい,愉[ゆ]快[かい]な,愉快,pleasant,ナ形,彼はゆかいな人だ。,他是一个快活的人。,⇔不ゆかいな,,[sound:JLPT_TangoN3_Word_1222.mp3],[sound:JLPT_TangoN3_Sentence_1222.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1223,愛する,あいする,愛[あい]する,爱，热爱,to love,动,あの歌手は世界中で愛されている。,那个歌手受到世界各地人们的喜爱。,,,[sound:JLPT_TangoN3_Word_1223.mp3],[sound:JLPT_TangoN3_Sentence_1223.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1224,真剣な,しんけん,真[しん]剣[けん]な,认真，正经,serious,ナ形,彼は彼女を真剣に愛しているらしい。,他对她的爱好像是认真的。,,,[sound:JLPT_TangoN3_Word_1224.mp3],[sound:JLPT_TangoN3_Sentence_1224.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1225,どきどき〈する〉,どきどき,どきどき（する）,心脏怦怦地跳,one’s heart beating quickly,副・动,大好きな人が近くにいると、どきどきする。,一靠近我非常喜欢的人，我就会很紧张。,,,[sound:JLPT_TangoN3_Word_1225.mp3],[sound:JLPT_TangoN3_Sentence_1225.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1226,わくわく〈する〉,わくわく,わくわく〈する〉,欢欣雀跃,excited,副・动,来週、日本に留学するので、わくわくしている。,下周我要去日本留学了，我很兴奋。,,,[sound:JLPT_TangoN3_Word_1226.mp3],[sound:JLPT_TangoN3_Sentence_1226.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1227,ほっと〈する〉,ほっと,どきどき（する）,叹气；放心,feeling relieved,副・动,試験に合格して、ほっとした。,考试合格了，我松了一口气。,,,[sound:JLPT_TangoN3_Word_1227.mp3],[sound:JLPT_TangoN3_Sentence_1227.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1228,のんびり〈する〉,のんびり,のんびり〈する〉,悠闲自在,"at leisure, carefree",副・动,将来は、いなかでのんびり暮らしたい。,将来，我想在乡下悠闲地生活。,,,[sound:JLPT_TangoN3_Word_1228.mp3],[sound:JLPT_TangoN3_Sentence_1228.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1229,ほほえむ,ほほえむ,微[ほほ]笑[え]む,微笑,to smile,动,彼女がほほえむと、みんなが幸せな気持ちになる。,她微微一笑，大家就会觉得很幸福。,"＋ほほえみ smile / 微笑
＋スマイル smile / 笑容
＋笑顔 smiling face / 笑脸",,[sound:JLPT_TangoN3_Word_1229.mp3],[sound:JLPT_TangoN3_Sentence_1229.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1230,夢中〈な〉,むちゅう,夢[む]中[ちゅう]〈な〉,入迷，着迷,"in a daze, entranced, be crazy about",名・ナ形,妹はおしゃれに夢中だ。（ナ形）,妹妹很着迷于打扮。,,,[sound:JLPT_TangoN3_Word_1230.mp3],[sound:JLPT_TangoN3_Sentence_1230.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1231,勇気,ゆうき,勇[ゆう]気[き],勇气,"courage, bravery",名,勇気を持って、チャレンジしよう。,拿出勇气来挑战！,,,[sound:JLPT_TangoN3_Word_1231.mp3],[sound:JLPT_TangoN3_Sentence_1231.mp3],11,2,気持ちを伝えよう,うれしい気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 2 うれしい気持ち
1232,あきる,あきる,飽[あ]きる,腻烦，厌倦,to get tired of,动,このドラマには、もうあきてしまった。,我已经厌倦了这部电视剧。,,,[sound:JLPT_TangoN3_Word_1232.mp3],[sound:JLPT_TangoN3_Sentence_1232.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1233,嫌がる,いやがる,嫌[いや]がる,讨厌，不愿意,to dislike,动,息子は家の手伝いを嫌がる。,儿子不愿意帮家里做事情。,,,[sound:JLPT_TangoN3_Word_1233.mp3],[sound:JLPT_TangoN3_Sentence_1233.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1234,落ち込む,おちこむ,落[お]ち込[こ]む,郁闷，消沉,to get depressed,动,友だちに悪口を言われて落ち込んだ。,朋友说我的坏话，这让我很郁闷。,,,[sound:JLPT_TangoN3_Word_1234.mp3],[sound:JLPT_TangoN3_Sentence_1234.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1235,がっかり〈する〉,がっかり,がっかり（する）,失望，垂头丧气,to be disappointed,副・动,試験の結果が悪くて、がっかりした。,考试成绩糟糕，这让我很气馁。,,,[sound:JLPT_TangoN3_Word_1235.mp3],[sound:JLPT_TangoN3_Sentence_1235.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1236,悲しむ,かなしむ,悲[かな]しむ,悲伤,to be sad,动,大きな事故が起きて、国中が悲しんでいる。,发生了一起重大事故，全国各地陷入悲伤当中。,"⇔喜ぶ
＋悲しみ sadness / 悲伤",,[sound:JLPT_TangoN3_Word_1236.mp3],[sound:JLPT_TangoN3_Sentence_1236.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1237,かわいそうな,かわいそう,可[かわい]想[そう]な,可怜,"pitiful, poor, pitiable",ナ形,この地域の子どもたちは学校に行けない。かわいそうだ。,这个地区的儿童上不了学，真可怜。,,,[sound:JLPT_TangoN3_Word_1237.mp3],[sound:JLPT_TangoN3_Sentence_1237.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1238,気の毒な,きのどく,気[き]のどくな,可怜，可悲，可惜,unfortunate,ナ形,気の毒な人たちに、元気を与えたい。,我希望能够让不幸的人们打起精神来。,,,[sound:JLPT_TangoN3_Word_1238.mp3],[sound:JLPT_TangoN3_Sentence_1238.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1239,きつい,きつい,厳[きつ]い,紧；累人；严厉,"tight, intense, severe, tough",イ形,"①このくつはきつくて、はけない。
②このバイトはきつい。","①这双鞋太紧，穿不上。
②这份兼职很累人。",,①紧得没有多余的空间；②辛苦,[sound:JLPT_TangoN3_Word_1239.mp3],[sound:JLPT_TangoN3_Sentence_1239.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1240,恐怖,きょうふ,恐[きょう]怖[ふ],恐怖，恐惧,fear,名,こんな恐怖は経験したことがない。,我从来没有这么恐惧过。,"＋恐怖心 fear, terror / 恐怖心理，害怕
＋恐怖映画 scary movie, horror movie / 恐怖电影",,[sound:JLPT_TangoN3_Word_1240.mp3],[sound:JLPT_TangoN3_Sentence_1240.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1241,ショック,ショック,ショック,冲击，打击,shock,名,親友の言葉に、ひどいショックを受けた。,好朋友的话让我深受打击。,,,[sound:JLPT_TangoN3_Word_1241.mp3],[sound:JLPT_TangoN3_Sentence_1241.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1242,後悔〈する〉,こうかい,後[こう]悔[かい]（する）,后悔,regret,名・动,高いバッグを買って、後悔している。,我买了一个昂贵的包，现在后悔了。,,,[sound:JLPT_TangoN3_Word_1242.mp3],[sound:JLPT_TangoN3_Sentence_1242.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1243,悩む,なやむ,悩[なや]む,烦恼,"to be worried, to be troubled",动,一人で悩んでいないで、話を聞かせてください。,不要独自烦恼，说出来听听。,,,[sound:JLPT_TangoN3_Word_1243.mp3],[sound:JLPT_TangoN3_Sentence_1243.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1244,悩み,なやみ,悩[なや]み,烦恼,"worry, trouble",名,悩みがあるなら、私に相談してほしい。,如果有什么烦恼，我希望你告诉我。,,,[sound:JLPT_TangoN3_Word_1244.mp3],[sound:JLPT_TangoN3_Sentence_1244.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1245,不安〈な〉,ふあん,不[ふ]安[あん]（な）,不安，担心,"anxiety, insecurity",名・ナ形,"明日入学試験を受ける。不安でいっぱいだ。（名）
不安な時は、私に話してください。（ナ形）","明天要参加入学考试了，我的内心充满了不安。
当你觉得不安时，请告诉我。",⇔安心〈な〉,,[sound:JLPT_TangoN3_Word_1245.mp3],[sound:JLPT_TangoN3_Sentence_1245.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1246,迷惑（な / する）,めいわく,迷[めい]惑[わく]（な/する）,麻烦，打搅,"nuisance, annoyance",名・ナ形,いろいろと、ご迷惑をおかけしました。（名）近所に迷惑な人がいる。（ナ形）,给您添麻烦了。附近有一个人总惹麻烦。,,,[sound:JLPT_TangoN3_Word_1246.mp3],[sound:JLPT_TangoN3_Sentence_1246.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1247,面倒〈な〉,めんどう,面[めん]倒[どう]（な）,麻烦，棘手；照顾,"looking after, trouble",名・ナ形,"小さい妹の面倒をみている。（名）
面倒なことは、先にやったほうがいい。（ナ形）","我在照顾我的小妹。
最好先把麻烦的事情解决了。",,,[sound:JLPT_TangoN3_Word_1247.mp3],[sound:JLPT_TangoN3_Sentence_1247.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1248,面倒くさい,めんどうくさい,面[めん]倒[どう]臭[くさ]い,非常麻烦,"annoying, troublesome",イ形,この仕事は時間がかかって、面倒くさい。,这工作很耗时间，太麻烦了。,,,[sound:JLPT_TangoN3_Word_1248.mp3],[sound:JLPT_TangoN3_Sentence_1248.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1249,ぶつぶつ,ぶつぶつ,ぶつぶつ[と],抱怨，嘟哝,"grumble, mutter",副,彼は、いつもぶつぶつ言っている。,他总是嘟嘟囔囔的。,,,[sound:JLPT_TangoN3_Word_1249.mp3],[sound:JLPT_TangoN3_Sentence_1249.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1250,いちいち,いちいち,一[いち]々[いち],一个一个,"every one, each and every one",副,父は、細かいことをいちいち私に注意する。,爸爸总是提醒我各种细节。,,,[sound:JLPT_TangoN3_Word_1250.mp3],[sound:JLPT_TangoN3_Sentence_1250.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1251,やかましい,やかましい,喧[やかま]しい,吵闹；啰嗦,"loud, noisy",イ形,"①外で、工事の音がやかましい。
②父は私の生活について、やかましく言う。","①外面施工的声音很吵。
②爸爸总是唠唠叨叨地干涉我的生活。",,"①大声,喧闹；②烦人地抱怨一些微不足道的事情",[sound:JLPT_TangoN3_Word_1251.mp3],[sound:JLPT_TangoN3_Sentence_1251.mp3],11,3,気持ちを伝えよう,ブルーな気分,万词对策N3::Chapter 11 気持ちを伝えよう::Section 3 ブルーな気分
1252,心から,こころから,心[こころ]から,由衷，衷心,from one’s heart,副,先生には、心から感謝しています。,我由衷地感谢老师。,,,[sound:JLPT_TangoN3_Word_1252.mp3],[sound:JLPT_TangoN3_Sentence_1252.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1253,祈る,いのる,祈[いの]る,祈祷；祝愿,to pray,动,みんなの無事を、心から祈っている。,衷心祈祷大家平安无事。,＋祈り prayer / 祈祷，祷告,,[sound:JLPT_TangoN3_Word_1253.mp3],[sound:JLPT_TangoN3_Sentence_1253.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1254,希望〈する〉,きぼう,希[き]望[ぼう]（する）,希望,"wish, desire",名・动,彼は海外勤務を希望している。,他希望派驻海外。,"＋望む to desire, to wish (for ~) / 希望・
＋望み wish, desire / 希望",,[sound:JLPT_TangoN3_Word_1254.mp3],[sound:JLPT_TangoN3_Sentence_1254.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1255,願う,ねがう,願[ねが]う,请求；希望；祈求,"to hope, to wish",动,合格を願って、有名な神社に行った。,我去了一座有名的神社，祈求考试合格。,,,[sound:JLPT_TangoN3_Word_1255.mp3],[sound:JLPT_TangoN3_Sentence_1255.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1256,願い,ねがい,願[ねが]い,愿望，志愿；申请,"wish, desire",名,この願いが彼女に届きますように。,希望她能了解我的这份心愿。,,"""~ますように""用来表达说话人的希望。",[sound:JLPT_TangoN3_Word_1256.mp3],[sound:JLPT_TangoN3_Sentence_1256.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1257,感じる,かんじる,感[かん]じる,感觉；感到,to feel,动,彼女の言葉に愛情を感じた。,我从她的文字中感受到了爱情。,,,[sound:JLPT_TangoN3_Word_1257.mp3],[sound:JLPT_TangoN3_Sentence_1257.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1258,あいまい〈な〉,あいまい,感[かん]じ,含糊，不明确,vague,ナ形,日本語には、あいまいな表現が多い。,日语中有许多含糊的表达方式。,,,[sound:JLPT_TangoN3_Word_1258.mp3],[sound:JLPT_TangoN3_Sentence_1258.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1259,案外,あんがい,案[あん]外[がい],出乎意料,"unexpected, unexpectedly, surprisingly",副,彼はいい人そうだが、案外わがままだ。,听说他是一个好人，没想到他很任性。,"＋意外な unexpected, surprising / 意外
＋意外と unexpectedly, surprisingly / 意外","也可以说""案外と""",[sound:JLPT_TangoN3_Word_1259.mp3],[sound:JLPT_TangoN3_Sentence_1259.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1260,うっかり〈する〉,うっかり,うっかり〈する〉,粗心，稀里糊涂,"carelessly, thoughtlessly, inadvertently",副・动,うっかり玄関のかぎをかけるのを忘れた。,我稀里糊涂地忘记锁大门了。,,,[sound:JLPT_TangoN3_Word_1260.mp3],[sound:JLPT_TangoN3_Sentence_1260.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1261,どうか,どうか,どうか,请；总算,"please, somehow or other",副,どうかＮ3の試験に合格できますように。,请保佑我N3级考试合格！,,,[sound:JLPT_TangoN3_Word_1261.mp3],[sound:JLPT_TangoN3_Sentence_1261.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1262,なんとか,なんとか,なんとか,想办法；总算,"somehow, one way or another",副,レポートを締め切りになんとか間に合わせたい。,我要想办法在截止日期之前完成论文。,,,[sound:JLPT_TangoN3_Word_1262.mp3],[sound:JLPT_TangoN3_Sentence_1262.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1263,なんとなく,なんとなく,なんとなく,总觉得；无意中,for some reason or another,副,あの映画は、なんとなくおもしろそうだ。,我总觉得那部电影会有意思。,,,[sound:JLPT_TangoN3_Word_1263.mp3],[sound:JLPT_TangoN3_Sentence_1263.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1264,ものすごい,ものすごい,ものすごい,可怕；不得了,"a great deal, very much",イ形,九州で、ものすごい雨が降っているようだ。,听说九州下雨下得非常厉害。,,"强烈的程度高于""すごい"" 。",[sound:JLPT_TangoN3_Word_1264.mp3],[sound:JLPT_TangoN3_Sentence_1264.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1265,わざわざ,わざわざ,わざわざ,特地；故意,"all the way, purposefully",副,わざわざお見舞いに来てくれて、ありがとう。,谢谢你特地来看望我。,,,[sound:JLPT_TangoN3_Word_1265.mp3],[sound:JLPT_TangoN3_Sentence_1265.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1266,こっそり,こっそり,こっそり,悄悄，暗地里,"secretly, sneakily",副,姉のバッグをこっそり借りた。,我悄悄地借用了姐姐的包。,,,[sound:JLPT_TangoN3_Word_1266.mp3],[sound:JLPT_TangoN3_Sentence_1266.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1267,ふと,ふと,ふと,偶然，忽然,"suddenly, casually",副,昔のことを、ふと思い出した。,我忽然想起了以前的事情。,,,[sound:JLPT_TangoN3_Word_1267.mp3],[sound:JLPT_TangoN3_Sentence_1267.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1268,いったい,いったい,いったい,到底，究竟,(why) in the world,副,あの人は、いったい何を考えているんだろう。,他究竟在想什么？,,,[sound:JLPT_TangoN3_Word_1268.mp3],[sound:JLPT_TangoN3_Sentence_1268.mp3],11,4,気持ちを伝えよう,どんな感じ？,万词对策N3::Chapter 11 気持ちを伝えよう::Section 4 どんな感じ？
1269,表現〈する〉,ひょうげん,表[ひょう]現[げん]（する）,表达,expression,名・动,私は、気持ちをうまく表現できない。,我不能很好地表达自己的情绪。,,,[sound:JLPT_TangoN3_Word_1269.mp3],[sound:JLPT_TangoN3_Sentence_1269.mp3],11,5,気持ちを伝えよう,複雑な気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 5 複雑な気持ち
1270,あがる,あがる,上[あ]がる,紧张，怯场,"become nervous, get stage fright",动,スピーチであがって、内容を忘れてしまった。,演讲时我怯场了，忘记要说什么了。,＝緊張する,,[sound:JLPT_TangoN3_Word_1270.mp3],[sound:JLPT_TangoN3_Sentence_1270.mp3],11,5,気持ちを伝えよう,複雑な気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 5 複雑な気持ち
1271,あせる,あせる,焦[あせ]る,着急,to be flustered,动,あせらないで、ゆっくり話してください。,别着急，慢慢说。,＋あせり impatience / 着急,,[sound:JLPT_TangoN3_Word_1271.mp3],[sound:JLPT_TangoN3_Sentence_1271.mp3],11,5,気持ちを伝えよう,複雑な気持ち,万词对策N3::Chapter 11 気持ちを伝えよう::Section 5 複雑な気持ち
