序号,日语单词,注音,Anki格式,中文翻译,英文翻译,词性,例句,例句翻译,关联,补充,Audio,Audio_Sentence,Chapter,Section,,,
39,遠慮〈する〉,えんりょ,遠[えん] 慮[りょ] <する>,客气，推辞,"hesitation, declining",名・动,遠慮しないで食べてください。,别客气，吃吧。,,,[sound:JLPT_TangoN3_Word_0039.mp3],[sound:JLPT_TangoN3_Sentence_0039.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
40,しょっちゅう,しょっちゅう,しょっちゅう,经常，总是,"often, frequently",副,幼なじみとしょっちゅう食事している。,我经常跟发小一起吃饭。,,,[sound:JLPT_TangoN3_Word_0040.mp3],[sound:JLPT_TangoN3_Sentence_0040.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
41,度々*,たびたび,たびたび,屡次,"again and again, repeatedly",副,仕事中に、友だちからたびたびメールが来る。,上班时，朋友接二连三地给我发来信息。,,,[sound:JLPT_TangoN3_Word_0041.mp3],[sound:JLPT_TangoN3_Sentence_0041.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
42,たまに,たまに,たまに,偶尔,"occasionally, once in a while",副,大学の友だちとたまにお酒を飲む。,我偶尔会跟大学朋友一起喝酒。,,,[sound:JLPT_TangoN3_Word_0042.mp3],[sound:JLPT_TangoN3_Sentence_0042.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
43,たまたま,たまたま,たまたま,偶然,"by chance, unexpectedly",副,昨日駅前で、たまたま高校時代の友だちに会った。,昨天，在车站前面，我偶然碰到了高中时的朋友。,,,[sound:JLPT_TangoN3_Word_0043.mp3],[sound:JLPT_TangoN3_Sentence_0043.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
44,滅多に*,めったに,めったに,很少,rarely,副,東京に来てから、幼なじみとめったに会えない。,来东京以后，我就很少见到发小了。,,,[sound:JLPT_TangoN3_Word_0044.mp3],[sound:JLPT_TangoN3_Sentence_0044.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
45,暫く*,しばらく,しばらく,一会儿；一段时间,"a while, a moment",副,幼なじみとしばらく会っていない。,我有一阵子没见到发小了。,,,[sound:JLPT_TangoN3_Word_0045.mp3],[sound:JLPT_TangoN3_Sentence_0045.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
46,別々〈な〉,べつべつ,別[べつ] 々[べつ] <な>,分别，各自,"different, separate",名・ナ形,親友とは別々の大学に進んだ。,我和我的知心朋友分别考上了不同的大学。,,,[sound:JLPT_TangoN3_Word_0046.mp3],[sound:JLPT_TangoN3_Sentence_0046.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
47,彼女,かのじょ,彼[かの] 女[じょ],女朋友,girlfriend,名,彼女ができたので、毎日が楽しい。,我交到女朋友了，每一天都很快乐。,,“彼女”还用作代词，表示“她”。,[sound:JLPT_TangoN3_Word_0047.mp3],[sound:JLPT_TangoN3_Sentence_0047.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
48,彼,かれ,彼[かれ],男朋友,boyfriend,名,両親は、彼をあまり好きじゃないようだ。,我爸妈似乎不太喜欢我男朋友。,＝彼氏,“彼”还用作代词，表示“他”。,[sound:JLPT_TangoN3_Word_0048.mp3],[sound:JLPT_TangoN3_Sentence_0048.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
49,愛情,あいじょう,愛[あい] 情[じょう],爱情,love,名,やさしい人だとわかり、友情が愛情に変わった。,我发现他是一个善良的人，于是我们的友情变成了爱情。,,,[sound:JLPT_TangoN3_Word_0049.mp3],[sound:JLPT_TangoN3_Sentence_0049.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
50,出会い,であい,出[で] 会[あ]い,邂逅,encounter,名,それはドラマのような出会いだった。,那次邂逅就像电视剧一样。,,,[sound:JLPT_TangoN3_Word_0050.mp3],[sound:JLPT_TangoN3_Sentence_0050.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
51,出会う,であう,出[で] 会[あ]う,（偶然）遇见,"to come across, to encounter",动,アメリカに旅行したとき、彼女に出会った。,我在美国旅游时，遇见了她。,,,[sound:JLPT_TangoN3_Word_0051.mp3],[sound:JLPT_TangoN3_Sentence_0051.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
52,付き合う,つきあう,付[つ]き 合[あ]う,交往，陪,"to go out with, to date, to accompany",动,"①二人は半年前から付き合っている。
②これから友だちの買い物に付き合う。","①他们俩从半年前开始交往了。
②我现在要去陪朋友买东西。",＋付き合い socializing / 交往；陪；打交道,①交往；②陪某人做某事,[sound:JLPT_TangoN3_Word_0052.mp3],[sound:JLPT_TangoN3_Sentence_0052.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
53,交際〈する〉,こうさい,交[こう] 際[さい] <する>,交际，交往,association,名・动,彼女の両親が、二人の交際に反対している。,她父母反对他们俩交往。,,,[sound:JLPT_TangoN3_Word_0053.mp3],[sound:JLPT_TangoN3_Sentence_0053.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
54,記念〈する〉,きねん,記[き] 念[ねん] <する>,纪念,commemoration,名・动,彼女の卒業を記念して、写真を撮った。,拍照纪念她毕业。,,,[sound:JLPT_TangoN3_Word_0054.mp3],[sound:JLPT_TangoN3_Sentence_0054.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
55,記念日,きねんび,記[き] 念[ねん] 日[び],纪念日,anniversary,名,明日は結婚記念日だ。,明天是结婚纪念日。,,,[sound:JLPT_TangoN3_Word_0055.mp3],[sound:JLPT_TangoN3_Sentence_0055.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
56,喧嘩〈する〉*,けんか,けんか <する>,吵架,"fight, dispute",名・动,私たちは、よくけんかする。,我们经常吵架。,"＋口げんか〈する〉 argument, verbal dispute / 争吵",,[sound:JLPT_TangoN3_Word_0056.mp3],[sound:JLPT_TangoN3_Sentence_0056.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
57,言い返す,いいかえす,言[い]い 返[かえ]す,还嘴,"to talk back, to retort",动,彼は注意されると、すぐ言い返す。,只要有人提醒他，他就会立马还嘴。,,,[sound:JLPT_TangoN3_Word_0057.mp3],[sound:JLPT_TangoN3_Sentence_0057.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
58,謝る,あやまる,謝[あやま]る,道歉,to apologize,动,私が怒ると、彼はすぐに謝る。,我一生气，他就立马道歉。,,,[sound:JLPT_TangoN3_Word_0058.mp3],[sound:JLPT_TangoN3_Sentence_0058.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
59,仲直り〈する〉,なかなおり,仲[なか] 直[なお]り <する>,和好,"making up, reconciliation",名・动,3日前にけんかして、まだ仲直りしていない。,3天前吵了一架，到现在还没有和好。,,,[sound:JLPT_TangoN3_Word_0059.mp3],[sound:JLPT_TangoN3_Sentence_0059.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
60,連れて行く,つれていく,連[つ]れて 行[い]く,带去,to take (someone) along,动,両親の家に彼女を連れて行きたい。,我想带女朋友去父母家。,,,[sound:JLPT_TangoN3_Word_0060.mp3],[sound:JLPT_TangoN3_Sentence_0060.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
61,連れて来る,つれてくる,連[つ]れて 来[く]る,带来,to bring (someone) along,动,兄が彼女を家に連れて来た。,哥哥把女朋友带回家了。,,,[sound:JLPT_TangoN3_Word_0061.mp3],[sound:JLPT_TangoN3_Sentence_0061.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
62,秘密,ひみつ,秘[ひ] 密[みつ],秘密,"secret, mystery",名,彼は私の秘密を、みんなに話した。,他把我的秘密告诉所有人了。,,,[sound:JLPT_TangoN3_Word_0062.mp3],[sound:JLPT_TangoN3_Sentence_0062.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
63,内緒,ないしょ,内[ない] 緒[しょ],秘密,secret,名,この話は、ぜったいに内緒にしてね。,这件事一定要保密哦！,,,[sound:JLPT_TangoN3_Word_0063.mp3],[sound:JLPT_TangoN3_Sentence_0063.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
64,好かれる,すかれる,好[す]かれる,受人喜爱,to be liked,动,彼女は、みんなに好かれる人だ。,她受到大家的喜爱。,,,[sound:JLPT_TangoN3_Word_0064.mp3],[sound:JLPT_TangoN3_Sentence_0064.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
65,もてる,もてる,もてる,受欢迎,to be popular,动,どうして彼が女性にもてるのか、わからない。,我不理解他为什么会受到女性的喜欢？,,,[sound:JLPT_TangoN3_Word_0065.mp3],[sound:JLPT_TangoN3_Sentence_0065.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
66,（人を）振る*,（ひとを）ふる,（人[ひと]を）ふる,摇；扔；把（人）甩了,"to dump, to turn down (someone)",动,弟は彼女にふられて、元気がない。,弟弟被女朋友甩了，无精打采的。,,,[sound:JLPT_TangoN3_Word_0066.mp3],[sound:JLPT_TangoN3_Sentence_0066.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
67,[お]見合い〈する〉,おみあい,[お] 見[み] 合[あ]い 〈する〉,相亲,"formal marriage interview, dating for the purpose of finding a spouse, arranged meeting",名,姉はお見合いの前に、美容院へ行った。,相亲之前，姐姐去了一趟美容院。,＋見合い結婚 arranged marriage / 相亲结婚,,[sound:JLPT_TangoN3_Word_0067.mp3],[sound:JLPT_TangoN3_Sentence_0067.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
68,恋愛〈する〉,れんあい,恋[れん] 愛[あい] 〈する〉,恋爱,"love, affection",名,今は恋愛より、いい友だちがほしい。,比起恋爱，我现在更需要一个好朋友。,＋恋愛結婚 marriage of love / 恋爱结婚,,[sound:JLPT_TangoN3_Word_0068.mp3],[sound:JLPT_TangoN3_Sentence_0068.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
69,存在〈する〉,そんざい,存[そん] 在[ざい] 〈する〉,存在,"existence, presence",名,恋人は、ぼくにとって大切な存在だ。,对我来说，恋人是一个重要的存在。,,,[sound:JLPT_TangoN3_Word_0069.mp3],[sound:JLPT_TangoN3_Sentence_0069.mp3],1,3,人と人との関係,恋人,万词对策N3::Chapter 1 人と人との関係::Section 3 恋人
70,相手,あいて,相[あい] 手[て],对方,"opponent, partner, other person",名,自分のことだけでなく、相手のことも考えよう。,不要光想着自己，也要考虑对方。,,,[sound:JLPT_TangoN3_Word_0070.mp3],[sound:JLPT_TangoN3_Sentence_0070.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
71,助ける,たすける,助[たす]ける,帮助,"to save, to help",动,駅で困っている人を助けた。,我在车站帮助了一个遇到麻烦的人。,,,[sound:JLPT_TangoN3_Word_0071.mp3],[sound:JLPT_TangoN3_Sentence_0071.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
72,助かる,たすかる,助[たす]かる,获救；得到帮助,"to be saved, to be helped",动,友だちがレポートをチェックしてくれたので、助かった。,朋友检查了一遍我的论文，帮了我大忙。,,,[sound:JLPT_TangoN3_Word_0072.mp3],[sound:JLPT_TangoN3_Sentence_0072.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
73,支える,ささえる,支[ささ]える,支持,to support,动,国の両親が、いつも私を支えてくれる。,父母在国内一直支持我。,,,[sound:JLPT_TangoN3_Word_0073.mp3],[sound:JLPT_TangoN3_Sentence_0073.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
74,誘う,さそう,誘[さそ]う,约，邀请,to invite,动,見たい映画があるので、友だちを誘った。,我想看一部电影，所以约了朋友一起看。,＋誘い invitation / 邀请,,[sound:JLPT_TangoN3_Word_0074.mp3],[sound:JLPT_TangoN3_Sentence_0074.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
75,待ち合わせる,まちあわせる,待[ま]ち 合[あ]わせる,约人见面,to meet up with,动,駅前のカフェで、友だちと待ち合わせた。,我和朋友约在车站前面的咖啡馆见面。,"＋待ち合わせ meeting, appointment / 约人见面",,[sound:JLPT_TangoN3_Word_0075.mp3],[sound:JLPT_TangoN3_Sentence_0075.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
